ID_2	CMAP (ug g-1)	Xt	Yt
2	351.60	603163.55	6576899.24
7	333.90	587501.2	6615272.45
9	316.40	585406.53	6575712.38
11	375.50	582795.8	6536823.17
12	325.70	578393.83	6514829.82
15	310.60	581920.37	6376827.26
18	315.20	580626	6317237.45
25	273.30	564983.2	6460703.73
34	320.90	561826.72	6277805.93
35	308.10	540132.48	6572395.39
36	278.70	540066.35	6554922.98
39	257.00	544374.11	6494569.02
41	329.60	537104.55	6461968.08
43	284.20	541745.02	6421084.4
47	292.60	545162.87	6334934.06
49	293.30	541060.12	6295327.98
50	272.90	534776.97	6267747.44
70	296.00	515660.94	6259661.03
72	326.20	519430.2	6208789.74
76	320.40	497504.29	6595467.86
77	397.00	498859.46	6582924.35
81	300.90	504966.36	6496753.99
83	267.10	503024.7	6459416.44
85	703.70	501033.99	6417871.62
87	297.10	500936.89	6377536.04
89	268.90	500780.99	6333918.03
91	243.60	499572.02	6292383.84
93	408.00	495630.78	6254220.95
94	344.00	502250.4	6228811.57
96	298.50	501314	6200115.09
99	433.60	467093.76	6665903.52
125	144.70	454257.61	6632301.93
128	264.00	459951.17	6581355.85
129	243.80	462475.69	6557023.01
132	315.70	462239.48	6500270.7
134	285.40	460337.21	6457270.37
136	224.70	459339.54	6416019.79
138	471.00	460815.29	6380175.87
140	273.30	464229.43	6338212.38
142	272.50	465263.67	6296646.01
144	230.90	456056.18	6258558.29
146	250.40	460984.57	6218295.14
148	276.80	456152.09	6175430.28
150	406.00	448405.03	6145930.74
151	278.30	429559.32	6713097.28
152	524.80	431144.15	6693667.17
184	377.50	414909.64	6656060.91
186	353.90	423666.86	6616209.04
187	157.00	418240.45	6593812.04
190	351.50	419639.81	6535326.89
192	83.00	419416.76	6496935.98
194	293.00	419729.09	6457031.74
196	487.40	422555.73	6416998.92
198	321.00	420123.24	6377094.15
200	231.30	425171.03	6344753
202	304.10	423547.62	6312202.42
203	281.80	420675.52	6277073.31
208	159.30	421888.16	6180591.73
210	196.00	415114.34	6136351.04
214	208.00	388211.04	6657911.83
242	46.10	365386.79	6695977.78
246	52.60	382613.13	6619021.46
248	38.00	379647.2	6574478.26
252	688.90	378648.57	6496538.18
266	102.50	385668.46	6223914.94
285	56.60	352374.61	6437236.25
322	74.70	343471.42	6292973.66
333	115.00	314936.82	6654861.62
344	36.90	307888.35	6436237.59
350	82.90	313421.09	6284488.11
351	140.70	311319.28	6250933.95
356	250.60	314626.09	6153623.93
362	35.10	304823.83	6586069.64
366	54.40	300315.59	6496947.28
380	28.20	270093.88	6473571.28
382	13.40	257921.06	6610370.74
