ID	X	Y	Zones_multispati	Zones_CPAclasico
183	306851.30203182	6127407.96293256	IV	IV
184	309351.30203182	6127407.96293256	IV	IV
185	311851.30203182	6127407.96293256	IV	IV
186	314351.30203182	6127407.96293256	IV	IV
187	316851.30203182	6127407.96293256	IV	IV
188	319351.30203182	6127407.96293256	IV	IV
189	321851.30203182	6127407.96293256	IV	IV
190	324351.30203182	6127407.96293256	IV	IV
191	326851.30203182	6127407.96293256	IV	IV
192	329351.30203182	6127407.96293256	IV	IV
193	331851.30203182	6127407.96293256	IV	IV
194	334351.30203182	6127407.96293256	IV	IV
195	336851.30203182	6127407.96293256	IV	IV
196	339351.30203182	6127407.96293256	IV	IV
197	341851.30203182	6127407.96293256	IV	IV
198	344351.30203182	6127407.96293256	IV	IV
199	346851.30203182	6127407.96293256	IV	IV
200	349351.30203182	6127407.96293256	IV	IV
201	351851.30203182	6127407.96293256	IV	IV
202	354351.30203182	6127407.96293256	IV	IV
203	356851.30203182	6127407.96293256	IV	IV
204	359351.30203182	6127407.96293256	IV	IV
205	361851.30203182	6127407.96293256	IV	IV
206	364351.30203182	6127407.96293256	IV	IV
207	366851.30203182	6127407.96293256	IV	IV
208	369351.30203182	6127407.96293256	IV	IV
209	371851.30203182	6127407.96293256	IV	IV
210	374351.30203182	6127407.96293256	IV	IV
211	376851.30203182	6127407.96293256	IV	IV
212	379351.30203182	6127407.96293256	IV	IV
213	381851.30203182	6127407.96293256	IV	IV
214	384351.30203182	6127407.96293256	IV	IV
215	386851.30203182	6127407.96293256	IV	IV
216	389351.30203182	6127407.96293256	IV	IV
217	391851.30203182	6127407.96293256	IV	IV
218	394351.30203182	6127407.96293256	IV	IV
219	396851.30203182	6127407.96293256	IV	IV
220	399351.30203182	6127407.96293256	IV	IV
221	401851.30203182	6127407.96293256	IV	IV
222	404351.30203182	6127407.96293256	IV	IV
223	406851.30203182	6127407.96293256	IV	IV
224	409351.30203182	6127407.96293256	IV	IV
225	411851.30203182	6127407.96293256	IV	IV
226	414351.30203182	6127407.96293256	IV	IV
227	416851.30203182	6127407.96293256	IV	IV
228	419351.30203182	6127407.96293256	IV	IV
229	421851.30203182	6127407.96293256	IV	IV
230	424351.30203182	6127407.96293256	IV	IV
231	426851.30203182	6127407.96293256	IV	IV
232	429351.30203182	6127407.96293256	IV	IV
233	431851.30203182	6127407.96293256	IV	IV
234	434351.30203182	6127407.96293256	IV	IV
235	436851.30203182	6127407.96293256	IV	IV
236	439351.30203182	6127407.96293256	IV	IV
237	441851.30203182	6127407.96293256	IV	IV
238	444351.30203182	6127407.96293256	IV	IV
239	446851.30203182	6127407.96293256	IV	IV
240	449351.30203182	6127407.96293256	IV	IV
241	451851.30203182	6127407.96293256	IV	IV
242	454351.30203182	6127407.96293256	IV	IV
243	456851.30203182	6127407.96293256	IV	IV
244	459351.30203182	6127407.96293256	IV	IV
245	461851.30203182	6127407.96293256	IV	IV
246	464351.30203182	6127407.96293256	IV	IV
336	306851.30203182	6129907.96293256	IV	IV
337	309351.30203182	6129907.96293256	IV	IV
338	311851.30203182	6129907.96293256	IV	IV
339	314351.30203182	6129907.96293256	IV	IV
340	316851.30203182	6129907.96293256	IV	IV
341	319351.30203182	6129907.96293256	IV	IV
342	321851.30203182	6129907.96293256	IV	IV
343	324351.30203182	6129907.96293256	IV	IV
344	326851.30203182	6129907.96293256	IV	IV
345	329351.30203182	6129907.96293256	IV	IV
346	331851.30203182	6129907.96293256	IV	IV
347	334351.30203182	6129907.96293256	IV	IV
348	336851.30203182	6129907.96293256	IV	IV
349	339351.30203182	6129907.96293256	IV	IV
350	341851.30203182	6129907.96293256	IV	IV
351	344351.30203182	6129907.96293256	IV	IV
352	346851.30203182	6129907.96293256	IV	IV
353	349351.30203182	6129907.96293256	IV	IV
354	351851.30203182	6129907.96293256	IV	IV
355	354351.30203182	6129907.96293256	IV	IV
356	356851.30203182	6129907.96293256	IV	IV
357	359351.30203182	6129907.96293256	IV	IV
358	361851.30203182	6129907.96293256	IV	IV
359	364351.30203182	6129907.96293256	IV	IV
360	366851.30203182	6129907.96293256	IV	IV
361	369351.30203182	6129907.96293256	IV	IV
362	371851.30203182	6129907.96293256	IV	IV
363	374351.30203182	6129907.96293256	IV	IV
364	376851.30203182	6129907.96293256	IV	IV
365	379351.30203182	6129907.96293256	IV	IV
366	381851.30203182	6129907.96293256	IV	IV
367	384351.30203182	6129907.96293256	IV	IV
368	386851.30203182	6129907.96293256	IV	IV
369	389351.30203182	6129907.96293256	IV	IV
370	391851.30203182	6129907.96293256	IV	IV
371	394351.30203182	6129907.96293256	IV	IV
372	396851.30203182	6129907.96293256	IV	IV
373	399351.30203182	6129907.96293256	IV	IV
374	401851.30203182	6129907.96293256	IV	IV
375	404351.30203182	6129907.96293256	IV	IV
376	406851.30203182	6129907.96293256	IV	IV
377	409351.30203182	6129907.96293256	IV	IV
378	411851.30203182	6129907.96293256	IV	IV
379	414351.30203182	6129907.96293256	IV	IV
380	416851.30203182	6129907.96293256	IV	IV
381	419351.30203182	6129907.96293256	IV	IV
382	421851.30203182	6129907.96293256	IV	IV
383	424351.30203182	6129907.96293256	IV	IV
384	426851.30203182	6129907.96293256	IV	IV
385	429351.30203182	6129907.96293256	IV	IV
386	431851.30203182	6129907.96293256	IV	IV
387	434351.30203182	6129907.96293256	IV	IV
388	436851.30203182	6129907.96293256	IV	IV
389	439351.30203182	6129907.96293256	IV	IV
390	441851.30203182	6129907.96293256	IV	IV
391	444351.30203182	6129907.96293256	IV	IV
392	446851.30203182	6129907.96293256	IV	IV
393	449351.30203182	6129907.96293256	IV	IV
394	451851.30203182	6129907.96293256	IV	IV
395	454351.30203182	6129907.96293256	IV	IV
396	456851.30203182	6129907.96293256	IV	IV
397	459351.30203182	6129907.96293256	IV	IV
398	461851.30203182	6129907.96293256	IV	IV
399	464351.30203182	6129907.96293256	IV	IV
489	306851.30203182	6132407.96293256	IV	IV
490	309351.30203182	6132407.96293256	IV	IV
491	311851.30203182	6132407.96293256	IV	IV
492	314351.30203182	6132407.96293256	IV	IV
493	316851.30203182	6132407.96293256	IV	IV
494	319351.30203182	6132407.96293256	IV	IV
495	321851.30203182	6132407.96293256	IV	IV
496	324351.30203182	6132407.96293256	IV	IV
497	326851.30203182	6132407.96293256	IV	IV
498	329351.30203182	6132407.96293256	IV	IV
499	331851.30203182	6132407.96293256	IV	IV
500	334351.30203182	6132407.96293256	IV	IV
501	336851.30203182	6132407.96293256	IV	IV
502	339351.30203182	6132407.96293256	IV	IV
503	341851.30203182	6132407.96293256	IV	IV
504	344351.30203182	6132407.96293256	IV	IV
505	346851.30203182	6132407.96293256	IV	IV
506	349351.30203182	6132407.96293256	IV	IV
507	351851.30203182	6132407.96293256	IV	IV
508	354351.30203182	6132407.96293256	IV	IV
509	356851.30203182	6132407.96293256	IV	IV
510	359351.30203182	6132407.96293256	IV	IV
511	361851.30203182	6132407.96293256	IV	IV
512	364351.30203182	6132407.96293256	IV	IV
513	366851.30203182	6132407.96293256	IV	IV
514	369351.30203182	6132407.96293256	IV	IV
515	371851.30203182	6132407.96293256	IV	IV
516	374351.30203182	6132407.96293256	IV	IV
517	376851.30203182	6132407.96293256	IV	IV
518	379351.30203182	6132407.96293256	IV	IV
519	381851.30203182	6132407.96293256	IV	IV
520	384351.30203182	6132407.96293256	IV	IV
521	386851.30203182	6132407.96293256	IV	IV
522	389351.30203182	6132407.96293256	IV	IV
523	391851.30203182	6132407.96293256	IV	IV
524	394351.30203182	6132407.96293256	IV	IV
525	396851.30203182	6132407.96293256	IV	IV
526	399351.30203182	6132407.96293256	IV	IV
527	401851.30203182	6132407.96293256	IV	IV
528	404351.30203182	6132407.96293256	IV	IV
529	406851.30203182	6132407.96293256	IV	IV
530	409351.30203182	6132407.96293256	IV	IV
531	411851.30203182	6132407.96293256	IV	IV
532	414351.30203182	6132407.96293256	IV	IV
533	416851.30203182	6132407.96293256	IV	IV
534	419351.30203182	6132407.96293256	IV	IV
535	421851.30203182	6132407.96293256	IV	IV
536	424351.30203182	6132407.96293256	IV	IV
537	426851.30203182	6132407.96293256	IV	IV
538	429351.30203182	6132407.96293256	IV	IV
539	431851.30203182	6132407.96293256	IV	IV
540	434351.30203182	6132407.96293256	IV	IV
541	436851.30203182	6132407.96293256	IV	IV
542	439351.30203182	6132407.96293256	IV	IV
543	441851.30203182	6132407.96293256	IV	IV
544	444351.30203182	6132407.96293256	IV	IV
545	446851.30203182	6132407.96293256	IV	IV
546	449351.30203182	6132407.96293256	IV	IV
547	451851.30203182	6132407.96293256	IV	IV
548	454351.30203182	6132407.96293256	IV	IV
549	456851.30203182	6132407.96293256	IV	IV
550	459351.30203182	6132407.96293256	IV	IV
551	461851.30203182	6132407.96293256	IV	IV
552	464351.30203182	6132407.96293256	IV	IV
642	306851.30203182	6134907.96293256	IV	IV
643	309351.30203182	6134907.96293256	IV	IV
644	311851.30203182	6134907.96293256	IV	IV
645	314351.30203182	6134907.96293256	IV	IV
646	316851.30203182	6134907.96293256	IV	IV
647	319351.30203182	6134907.96293256	IV	IV
648	321851.30203182	6134907.96293256	IV	IV
649	324351.30203182	6134907.96293256	IV	IV
650	326851.30203182	6134907.96293256	IV	IV
651	329351.30203182	6134907.96293256	IV	IV
652	331851.30203182	6134907.96293256	IV	IV
653	334351.30203182	6134907.96293256	IV	IV
654	336851.30203182	6134907.96293256	IV	IV
655	339351.30203182	6134907.96293256	IV	IV
656	341851.30203182	6134907.96293256	IV	IV
657	344351.30203182	6134907.96293256	IV	IV
658	346851.30203182	6134907.96293256	IV	IV
659	349351.30203182	6134907.96293256	IV	IV
660	351851.30203182	6134907.96293256	IV	IV
661	354351.30203182	6134907.96293256	IV	IV
662	356851.30203182	6134907.96293256	IV	IV
663	359351.30203182	6134907.96293256	IV	IV
664	361851.30203182	6134907.96293256	IV	IV
665	364351.30203182	6134907.96293256	IV	IV
666	366851.30203182	6134907.96293256	IV	IV
667	369351.30203182	6134907.96293256	IV	IV
668	371851.30203182	6134907.96293256	IV	IV
669	374351.30203182	6134907.96293256	IV	IV
670	376851.30203182	6134907.96293256	IV	IV
671	379351.30203182	6134907.96293256	IV	IV
672	381851.30203182	6134907.96293256	IV	IV
673	384351.30203182	6134907.96293256	IV	IV
674	386851.30203182	6134907.96293256	IV	IV
675	389351.30203182	6134907.96293256	IV	IV
676	391851.30203182	6134907.96293256	IV	IV
677	394351.30203182	6134907.96293256	IV	IV
678	396851.30203182	6134907.96293256	IV	IV
679	399351.30203182	6134907.96293256	IV	IV
680	401851.30203182	6134907.96293256	IV	IV
681	404351.30203182	6134907.96293256	IV	IV
682	406851.30203182	6134907.96293256	IV	IV
683	409351.30203182	6134907.96293256	IV	IV
684	411851.30203182	6134907.96293256	IV	IV
685	414351.30203182	6134907.96293256	IV	IV
686	416851.30203182	6134907.96293256	IV	IV
687	419351.30203182	6134907.96293256	IV	IV
688	421851.30203182	6134907.96293256	IV	IV
689	424351.30203182	6134907.96293256	IV	IV
690	426851.30203182	6134907.96293256	IV	IV
691	429351.30203182	6134907.96293256	IV	IV
692	431851.30203182	6134907.96293256	IV	IV
693	434351.30203182	6134907.96293256	IV	IV
694	436851.30203182	6134907.96293256	IV	IV
695	439351.30203182	6134907.96293256	IV	IV
696	441851.30203182	6134907.96293256	IV	IV
697	444351.30203182	6134907.96293256	IV	IV
698	446851.30203182	6134907.96293256	IV	IV
699	449351.30203182	6134907.96293256	IV	IV
700	451851.30203182	6134907.96293256	IV	IV
701	454351.30203182	6134907.96293256	IV	IV
702	456851.30203182	6134907.96293256	IV	IV
703	459351.30203182	6134907.96293256	IV	IV
704	461851.30203182	6134907.96293256	IV	IV
705	464351.30203182	6134907.96293256	IV	IV
795	306851.30203182	6137407.96293256	IV	IV
796	309351.30203182	6137407.96293256	IV	IV
797	311851.30203182	6137407.96293256	IV	IV
798	314351.30203182	6137407.96293256	IV	IV
799	316851.30203182	6137407.96293256	IV	IV
800	319351.30203182	6137407.96293256	IV	IV
801	321851.30203182	6137407.96293256	IV	IV
802	324351.30203182	6137407.96293256	IV	IV
803	326851.30203182	6137407.96293256	IV	IV
804	329351.30203182	6137407.96293256	IV	IV
805	331851.30203182	6137407.96293256	IV	IV
806	334351.30203182	6137407.96293256	IV	IV
807	336851.30203182	6137407.96293256	IV	IV
808	339351.30203182	6137407.96293256	IV	IV
809	341851.30203182	6137407.96293256	IV	IV
810	344351.30203182	6137407.96293256	IV	IV
811	346851.30203182	6137407.96293256	IV	IV
812	349351.30203182	6137407.96293256	IV	IV
