ID2	Xt	Yt	Zonas_multispat_kd_t	Zonas_multispati_koc_t	Patron	patterns2
1745	484351.302	6197407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
13488	381851.302	6484907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
692	386851.302	6154907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
19742	496851.302	6604907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2250	386851.302	6214907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
12884	474351.302	6472407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
17989	346851.302	6569907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
6048	531851.302	6317407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
639	409351.302	6152407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
16771	479351.302	6547407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2769	466851.302	6229907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
16241	521851.302	6537407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22265	461851.302	6677407.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
8735	334351.302	6379907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
14505	309351.302	6504907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
8826	566851.302	6379907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
16711	324351.302	6547407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
7683	544351.302	6354907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
1533	389351.302	6189907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
5181	384351.302	6297407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
11016	366851.302	6432407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9301	416851.302	6392407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6140	494351.302	6319907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12349	376851.302	6462407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
21410	386851.302	6652407.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
21913	364351.302	6667407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
21981	314351.302	6669907.963	NO	SA	Bajo Kd y Alta vida media	"Low income - High access gain"
18361	599351.302	6574907.963	E	S	No significativa	NA
12311	264351.302	6462407.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
19201	469351.302	6592407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
5306	446851.302	6299907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15950	471851.302	6532407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
5879	344351.302	6314907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18934	384351.302	6587407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
17089	571851.302	6552407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
55	449351.302	6127407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
22390	411851.302	6682407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
7739	391851.302	6357407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15367	526851.302	6519907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
